Date,USDTRY,,,Retrun_5D,Retrun_20D,Volatility_5D,Volatility_20D,Volatility_6D,MA_Distance_20D,MA_Distance_50D,MA_Slope_20D,Drawdown_60D
10/8/2018,6.1106,,,,,,,,,,,
10/9/2018,6.1011,,,,,,,,,,,
10/10/2018,6.076,,,,,,,,,,,
10/11/2018,5.9258,,,,,,,,,,,
10/12/2018,5.8721,,,,,,,,,,,
10/15/2018,5.7867,,,,,,,,,,,
10/16/2018,5.6856,,,,,,,,,,,
10/17/2018,5.5835,,,,,,,,,,,
10/18/2018,5.6425,,,,,,,,,,,
10/19/2018,5.6425,,,,,,,,,,,
10/22/2018,5.6689,,,,,,,,,,,
10/23/2018,5.737,,,,,,,,,,,
10/24/2018,5.7023,,,,,,,,,,,
10/25/2018,5.6345,,,,,,,,,,,
10/26/2018,5.5929,,,,,,,,,,,
10/29/2018,5.5611,,,,,,,,,,,
10/30/2018,5.4746,,,,,,,,,,,
10/31/2018,5.5835,,,,,,,,,,,
11/1/2018,5.5118,,,,,,,,,,,
11/2/2018,5.4296,,,,,,,,,,,
11/5/2018,5.3134,,,,,,,,,,,
11/6/2018,5.356,,,,,,,,,,,
11/7/2018,5.3612,,,,,,,,,,,
11/8/2018,5.4583,,,,,,,,,,,
11/9/2018,5.4606,,,,,,,,,,,
11/12/2018,5.4685,,,,,,,,,,,
11/13/2018,5.4776,,,,,,,,,,,
11/14/2018,5.4624,,,,,,,,,,,
11/15/2018,5.3481,,,,,,,,,,,
11/16/2018,5.3318,,,,,,,,,,,
11/19/2018,5.3075,,,,,,,,,,,
11/20/2018,5.3776,,,,,,,,,,,
11/21/2018,5.308,,,,,,,,,,,
11/22/2018,5.296,,,,,,,,,,,
11/23/2018,5.2875,,,,,,,,,,,
11/26/2018,5.2477,,,,,,,,,,,
11/27/2018,5.2716,,,,,,,,,,,
11/28/2018,5.2219,,,,,,,,,,,
11/29/2018,5.1631,,,,,,,,,,,
11/30/2018,5.2128,,,,,,,,,,,
12/3/2018,5.2501,,,,,,,,,,,
12/4/2018,5.3875,,,,,,,,,,,
12/5/2018,5.3262,,,,,,,,,,,
12/6/2018,5.3386,,,,,,,,,,,
12/7/2018,5.3029,,,,,,,,,,,
12/10/2018,5.3248,,,,,,,,,,,
12/11/2018,5.3653,,,,,,,,,,,
12/12/2018,5.3482,,,,,,,,,,,
12/13/2018,5.3392,,,,,,,,,,,
12/14/2018,5.3635,,,,,,,,,,,
12/17/2018,5.3686,,,,,,,,,,,
12/18/2018,5.345,,,,,,,,,,,
12/19/2018,5.2861,,,,,,,,,,,
12/20/2018,5.2649,,,,,,,,,,,
12/21/2018,5.3181,,,,,,,,,,,
12/24/2018,5.289,,,,,,,,,,,
12/25/2018,5.3101,,,,,,,,,,,
12/26/2018,5.2766,,,,,,,,,,,
12/27/2018,5.285,,,,,,,,,,,
12/28/2018,5.2725,,,,,,,,,,,
12/31/2018,5.2887,,,,,,,,,,,
1/1/2019,5.2933,,,,,,,,,,,
1/2/2019,5.4003,,,,,,,,,,,
1/3/2019,5.4664,,,,,,,,,,,
1/4/2019,5.3311,,,,,,,,,,,
1/7/2019,5.3848,,,,,,,,,,,
1/8/2019,5.4811,,,,,,,,,,,
1/9/2019,5.4768,,,,,,,,,,,
1/10/2019,5.4168,,,,,,,,,,,
1/11/2019,5.455,,,,,,,,,,,
1/14/2019,5.4447,,,,,,,,,,,
1/15/2019,5.4466,,,,,,,,,,,
1/16/2019,5.3363,,,,,,,,,,,
1/17/2019,5.348,,,,,,,,,,,
1/18/2019,5.3283,,,,,,,,,,,
1/21/2019,5.3247,,,,,,,,,,,
1/22/2019,5.3435,,,,,,,,,,,
1/23/2019,5.286,,,,,,,,,,,
1/24/2019,5.265,,,,,,,,,,,
1/25/2019,5.2688,,,,,,,,,,,
1/28/2019,5.3279,,,,,,,,,,,
1/29/2019,5.3098,,,,,,,,,,,
1/30/2019,5.2252,,,,,,,,,,,
1/31/2019,5.1645,,,,,,,,,,,
2/1/2019,5.2084,,,,,,,,,,,
2/4/2019,5.2182,,,,,,,,,,,
2/5/2019,5.1985,,,,,,,,,,,
2/6/2019,5.2168,,,,,,,,,,,
2/7/2019,5.2668,,,,,,,,,,,
2/8/2019,5.2474,,,,,,,,,,,
2/11/2019,5.2779,,,,,,,,,,,
2/12/2019,5.2516,,,,,,,,,,,
2/13/2019,5.285,,,,,,,,,,,
2/14/2019,5.2729,,,,,,,,,,,
2/15/2019,5.2714,,,,,,,,,,,
2/18/2019,5.3083,,,,,,,,,,,
2/19/2019,5.2828,,,,,,,,,,,
2/20/2019,5.3244,,,,,,,,,,,
2/21/2019,5.3214,,,,,,,,,,,
2/22/2019,5.3186,,,,,,,,,,,
2/25/2019,5.3026,,,,,,,,,,,
2/26/2019,5.3066,,,,,,,,,,,
2/27/2019,5.3136,,,,,,,,,,,
2/28/2019,5.3371,,,,,,,,,,,
3/1/2019,5.3742,,,,,,,,,,,
3/4/2019,5.3769,,,,,,,,,,,
3/5/2019,5.387,,,,,,,,,,,
3/6/2019,5.4288,,,,,,,,,,,
3/7/2019,5.4712,,,,,,,,,,,
3/8/2019,5.4303,,,,,,,,,,,
3/11/2019,5.4455,,,,,,,,,,,
3/12/2019,5.4572,,,,,,,,,,,
3/13/2019,5.4564,,,,,,,,,,,
3/14/2019,5.4671,,,,,,,,,,,
3/15/2019,5.4467,,,,,,,,,,,
3/18/2019,5.4683,,,,,,,,,,,
3/19/2019,5.4764,,,,,,,,,,,
3/20/2019,5.4208,,,,,,,,,,,
3/21/2019,5.4652,,,,,,,,,,,
3/22/2019,5.7627,,,,,,,,,,,
3/25/2019,5.5503,,,,,,,,,,,
3/26/2019,5.3279,,,,,,,,,,,
3/27/2019,5.3278,,,,,,,,,,,
3/28/2019,5.561,,,,,,,,,,,
3/29/2019,5.5555,,,,,,,,,,,
4/1/2019,5.4863,,,,,,,,,,,
4/2/2019,5.605,,,,,,,,,,,
4/3/2019,5.626,,,,,,,,,,,
